season,episode,title,imdb_rating,released,imdb_id
1,1,Pilot,8.1,2007-09-24,tt0775431
1,2,The Big Bran Hypothesis,8.2,2007-10-01,tt1091289
1,3,The Fuzzy Boots Corollary,7.6,2007-10-08,tt1091290
1,4,The Luminous Fish Effect,8.0,2007-10-15,tt1091291
1,5,The Hamburger Postulate,7.8,2007-10-22,tt1091292
1,6,The Middle Earth Paradigm,8.3,2007-10-29,tt1091293
1,7,The Dumpling Paradox,8.1,2007-11-05,tt1136041
1,8,The Grasshopper Experiment,8.1,2007-11-12,tt1127389
1,9,The Cooper-Hofstadter Polarization,7.9,2008-03-17,tt1127390
1,10,The Loobenfeld Decay,8.0,2008-03-24,tt1127384
1,11,The Pancake Batter Anomaly,8.2,2008-03-31,tt1127385
1,12,The Jerusalem Duality,7.8,2008-04-14,tt1127386
1,13,The Bat Jar Conjecture,8.2,2008-04-21,tt1127387
1,14,The Nerdvana Annihilation,N/A,2008-04-28,tt1127905
1,15,The Pork Chop Indeterminacy,8.2,2008-05-05,tt1127906
1,16,The Peanut Reaction,8.3,2008-05-12,tt1127907
1,17,The Tangerine Factor,8.5,2008-05-19,tt1127908
2,1,The Bad Fish Paradigm,8.2,2008-09-22,tt1256599
2,2,The Codpiece Topology,8.0,2008-09-29,tt1256030
2,3,The Barbarian Sublimation,8.7,2008-10-06,tt1256034
2,4,The Griffin Equivalency,7.9,2008-10-13,tt1256035
2,5,The Euclid Alternative,8.3,2008-10-20,tt1256036
2,6,The Cooper-Nowitzki Theorem,8.2,2008-11-03,tt1256037
2,7,The Panty Piñata Polarization,8.6,2008-11-10,tt1256038
2,8,The Lizard-Spock Expansion,8.0,2008-11-17,tt1256039
2,9,The White Asparagus Triangulation,8.1,2008-11-24,tt1256040
2,10,The Vartabedian Conundrum,7.6,2008-12-08,tt1256020
2,11,The Bath Item Gift Hypothesis,9.1,2008-12-15,tt1256021
2,12,The Killer Robot Instability,N/A,2009-01-12,tt1256022
2,13,The Friendship Algorithm,7.9,2009-01-19,tt1256023
2,14,The Financial Permeability,8.0,2009-02-02,tt1256024
2,15,The Maternal Capacitance,8.8,2009-02-09,tt1256025
2,16,The Cushion Saturation,8.1,2009-03-02,tt1256026
2,17,The Terminator Decoupling,8.0,2009-03-09,tt1256027
2,18,The Work Song Nanocluster,8.1,2009-03-16,tt1256028
2,19,The Dead Hooker Juxtaposition,8.1,2009-03-30,tt1256029
2,20,The Hofstadter Isotope,7.9,2009-04-13,tt1256031
2,21,The Vegas Renormalization,8.5,2009-04-27,tt1256032
2,22,The Classified Materials Turbulence,8.1,2009-05-04,tt1256033
2,23,The Monopolar Expedition,8.2,2009-05-11,tt1426233
3,1,The Electric Can Opener Fluctuation,8.3,2009-09-21,tt1487706
3,2,The Jiminy Conjecture,7.7,2009-09-28,tt1495238
3,3,The Gothowitz Deviation,8.1,2009-10-05,tt1494210
3,4,The Pirate Solution,8.0,2009-10-12,tt1523181
3,5,The Creepy Candy Coating Corollary,8.3,2009-10-19,tt1528188
3,6,The Cornhusker Vortex,7.4,2009-11-02,tt1523180
3,7,The Guitarist Amplification,7.7,2009-11-09,tt1535334
3,8,The Adhesive Duck Deficiency,8.9,2009-11-16,tt1536922
3,9,The Vengeance Formulation,8.3,2009-11-23,tt1544819
3,10,The Gorilla Experiment,8.4,2009-12-07,tt1558529
3,11,The Maternal Congruence,8.2,2009-12-14,tt1558530
3,12,The Psychic Vortex,8.2,2010-01-11,tt1567073
3,13,The Bozeman Reaction,8.0,2010-01-18,tt1570312
3,14,The Einstein Approximation,8.4,2010-02-01,tt1588684
3,15,The Large Hadron Collision,8.0,2010-02-08,tt1589887
3,16,The Excelsior Acquisition,8.2,2010-03-01,tt1592080
3,17,The Precious Fragmentation,8.4,2010-03-08,tt1607974
3,18,The Pants Alternative,8.4,2010-03-22,tt1609715
3,19,The Wheaton Recurrence,7.8,2010-04-12,tt1609410
3,20,The Spaghetti Catalyst,8.1,2010-05-03,tt1628617
3,21,The Plimpton Stimulation,8.1,2010-05-10,tt1648755
3,22,The Staircase Implementation,9.0,2010-05-17,tt1648756
3,23,The Lunar Excitation,8.6,2010-05-24,tt1627740
4,1,The Robotic Manipulation,8.7,2010-09-23,tt1632224
4,2,The Cruciferous Vegetable Amplification,8.3,2010-09-30,tt1632235
4,3,The Zazzy Substitution,7.9,2010-10-07,tt1632240
4,4,The Hot Troll Deviation,8.0,2010-10-14,tt1632241
4,5,The Desperation Emanation,7.6,2010-10-21,tt1632242
4,6,The Irish Pub Formulation,8.0,2010-10-28,tt1632243
4,7,The Apology Insufficiency,8.0,2010-11-04,tt1632244
4,8,The 21-Second Excitation,8.1,2010-11-11,tt1632245
4,9,The Boyfriend Complexity,8.4,2010-11-18,tt1632246
4,10,The Alien Parasite Hypothesis,7.6,2010-12-09,tt1632225
4,11,The Justice League Recombination,8.6,2010-12-16,tt1632226
4,12,The Bus Pants Utilization,7.5,2011-01-06,tt1632227
4,13,The Love Car Displacement,8.2,2011-01-20,tt1632228
4,14,The Thespian Catalyst,7.7,2011-02-03,tt1632229
4,15,The Benefactor Factor,7.7,2011-02-10,tt1632230
4,16,The Cohabitation Formulation,7.8,2011-02-17,tt1632231
4,17,The Toast Derivation,7.9,2011-02-24,tt1632232
4,18,The Prestidigitation Approximation,8.1,2011-03-10,tt1632233
4,19,The Zarnecki Incursion,8.0,2011-03-31,tt1632234
4,20,The Herb Garden Germination,8.2,2011-04-07,tt1632236
4,21,The Agreement Dissection,8.2,2011-04-28,tt1632237
4,22,The Wildebeest Implementation,7.7,2011-05-05,tt1632238
4,23,The Engagement Reaction,8.0,2011-05-12,tt1632239
4,24,The Roommate Transmogrification,8.5,2011-05-19,tt1918407
5,1,The Skank Reflex Analysis,8.0,2011-09-22,tt1980710
5,2,The Infestation Hypothesis,8.0,2011-09-22,tt2033019
5,3,The Pulled Groin Extrapolation,7.6,2011-09-29,tt2057241
5,4,The Wiggly Finger Catalyst,7.8,2011-10-06,tt2058495
